collection_priority,batch_id,gap_type,county,local_area,region_label,gics_sector,missing_fields,gics_industry_group,company_count,director_50_plus_count,director_55_plus_count,director_60_plus_count,director_65_plus_count,director_70_plus_count,source_note,source_url,source_date,approved_by,cro_address_count_url,cro_address_search_url,director_age_required,acceptance_rule,recommended_source,next_action
41,galway-company-041,missing_row,Galway,Gort,Galway / Gort,Information Technology,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Gort%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Gort%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
42,galway-company-042,missing_row,Galway,Gort,Galway / Gort,Financials,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Gort%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Gort%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
43,galway-company-043,missing_row,Galway,Clifden / Connemara,Galway / Clifden / Connemara,Industrials,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Clifden%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Clifden%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
44,galway-company-044,missing_row,Galway,Clifden / Connemara,Galway / Clifden / Connemara,Consumer Discretionary,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Clifden%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Clifden%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
45,galway-company-045,missing_row,Galway,Clifden / Connemara,Galway / Clifden / Connemara,Consumer Staples,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Clifden%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Clifden%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
46,galway-company-046,missing_row,Galway,Clifden / Connemara,Galway / Clifden / Connemara,Health Care,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Clifden%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Clifden%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
47,galway-company-047,missing_row,Galway,Clifden / Connemara,Galway / Clifden / Connemara,Information Technology,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Clifden%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Clifden%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
48,galway-company-048,missing_row,Galway,Clifden / Connemara,Galway / Clifden / Connemara,Financials,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Clifden%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Clifden%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
49,dublin-company-049,missing_row,Dublin,Dublin City Centre,Dublin / Dublin City Centre,Consumer Discretionary,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dublin+City+Centre&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dublin+City+Centre&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
50,dublin-company-050,missing_row,Dublin,Dublin City Centre,Dublin / Dublin City Centre,Consumer Staples,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dublin+City+Centre&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dublin+City+Centre&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
51,dublin-company-051,missing_row,Dublin,Dublin City Centre,Dublin / Dublin City Centre,Health Care,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dublin+City+Centre&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dublin+City+Centre&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
52,dublin-company-052,missing_row,Dublin,Dublin City Centre,Dublin / Dublin City Centre,Information Technology,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dublin+City+Centre&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dublin+City+Centre&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
53,dublin-company-053,missing_row,Dublin,Dublin City Centre,Dublin / Dublin City Centre,Financials,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dublin+City+Centre&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dublin+City+Centre&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
54,dublin-company-054,missing_row,Dublin,Dublin 2 / Docklands,Dublin / Dublin 2 / Docklands,Consumer Discretionary,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dublin+2&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dublin+2&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
55,dublin-company-055,missing_row,Dublin,Dublin 2 / Docklands,Dublin / Dublin 2 / Docklands,Consumer Staples,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dublin+2&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dublin+2&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
56,dublin-company-056,missing_row,Dublin,Dublin 2 / Docklands,Dublin / Dublin 2 / Docklands,Health Care,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dublin+2&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dublin+2&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
57,dublin-company-057,missing_row,Dublin,Dublin 2 / Docklands,Dublin / Dublin 2 / Docklands,Information Technology,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dublin+2&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dublin+2&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
58,dublin-company-058,missing_row,Dublin,Dublin 2 / Docklands,Dublin / Dublin 2 / Docklands,Financials,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dublin+2&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dublin+2&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
59,dublin-company-059,missing_row,Dublin,Dublin 4 / Ballsbridge,Dublin / Dublin 4 / Ballsbridge,Consumer Discretionary,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dublin+4&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dublin+4&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
60,dublin-company-060,missing_row,Dublin,Dublin 4 / Ballsbridge,Dublin / Dublin 4 / Ballsbridge,Consumer Staples,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dublin+4&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dublin+4&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
